Duty Id,Start Time,End Time,Start Stop Description,End Stop Description,Break Start Time,Break Duration,Break Stop Name
83,05:10,16:17,Grand Ave Park and Ride,Hope and 9th,"[""09:34"",""10:46"",""13:06""]","[20,72,32]","[""Puente Hills Mall Layover"",""Valley and Temple Layover"",""EMS Layover""]"
84,05:10,15:38,Pomona Transit Center,Puente Hills Mall,"[""06:54"",""09:35""]","[18,52]","[""Puente Hills Mall Layover"",""CiCo Layover""]"
85,05:23,14:38,Pomona Transit Center,Montclair Transit Center,"[""08:57"",""13:04""]","[36,24]","[""MTC Layover"",""MTC Layover""]"
86,05:30,17:39,Claremont Transit Center,Pomona Transit Center,"[""11:16"",""14:27""]","[78,46]","[""Puente Hills Mall Layover"",""Puente Hills Mall Layover""]"
87,05:30,17:30,Pomona Transit Center,Claremont Transit Center,"[""06:42"",""10:55""]","[23,63]","[""Claremont Transit Center"",""PTC Layover""]"
88,05:30,16:50,Pomona Transit Center,Puente Hills Mall,"[""08:14"",""10:22"",""14:06""]","[21,54,19]","[""Beach and La Habra"",""Beach and La Habra"",""EMS Layover""]"
89,05:34,16:02,Temple Ave and S. Campus Dr,El Monte Station,"[""09:29"",""12:41""]","[61,17]","[""Pomona Yard"",""EMS Layover""]"
90,10:08,20:32,Temple Ave and S. Campus Dr,El Monte Station,"[""11:35"",""14:07"",""15:22"",""17:32""]","[43,21,36,17]","[""EMS Layover"",""MTC Layover"",""PTC Layover"",""Puente Hills Mall Layover""]"
91,10:13,21:33,Pomona Transit Center,Montclair Transit Center,"[""13:11"",""15:03""]","[17,53]","[""EMS Layover"",""CiCo Layover""]"
92,10:30,20:23,Temple Ave and S. Campus Dr,El Monte Station,"[""12:06"",""16:12""]","[22,65]","[""EMS Layover"",""Valley and Temple Layover""]"
93,10:56,21:02,Temple Ave and S. Campus Dr,El Monte Station,"[""11:18"",""12:51"",""16:05"",""18:35"",""19:48""]","[27,17,54,23,17]","[""Temple Ave and S. Campus Dr"",""EMS Layover"",""Puente Hills Mall Layover"",""PTC Layover"",""Brea Mall Transit Center""]"
94,11:07,20:52,Pomona Transit Center,Montclair Transit Center,"[""14:12"",""15:40""]","[16,49]","[""EMS Layover"",""Valley and Temple Layover""]"
95,11:08,21:06,El Monte Station,Temple Ave and S. Campus Dr,"[""16:08""]",[46],"[""CiCo Layover""]"
96,11:23,20:51,Montclair Transit Center,El Monte Station,"[""11:45"",""13:42"",""16:04""]","[20,31,59]","[""Montclair Transit Center"",""EMS Layover"",""MTC Layover""]"
97,11:40,21:56,Citrus Gold Line Station,El Monte Station,"[""15:24"",""19:18""]","[45,17]","[""Valley and Temple Layover"",""Beach and La Habra""]"
98,11:50,20:46,El Monte Station,Temple Ave and S. Campus Dr,"[""15:22"",""17:15""]","[18,41]","[""EMS Layover"",""CiCo Layover""]"
99,11:53,22:02,El Monte Station,Temple Ave and S. Campus Dr,"[""15:07"",""16:42"",""19:22"",""20:48""]","[21,43,24,17]","[""EMS Layover"",""Valley and Temple Layover"",""San Dimas Park and Ride"",""Brea Mall Transit Center""]"
100,12:03,21:49,Temple Ave and S. Campus Dr,Puente Hills Mall,"[""13:16"",""15:27"",""19:41""]","[18,47,17]","[""Puente Hills Mall Layover"",""Puente Hills Mall Layover"",""EMS Layover""]"
101,12:05,21:01,Pomona Transit Center,Ridgeway and Valley,"[""14:24""]",[49],"[""Valley and Temple Layover""]"
102,12:07,22:01,Pomona Transit Center,Montclair Transit Center,"[""15:49""]",[53],"[""Puente Hills Mall Layover""]"
103,12:20,23:02,Temple Ave and S. Campus Dr,Puente Hills Mall,"[""13:46"",""16:27"",""20:28"",""21:48""]","[48,45,30,17]","[""Puente Hills Mall Layover"",""Puente Hills Mall Layover"",""PTC Layover"",""Brea Mall Transit Center""]"
104,12:23,23:17,El Monte Station,Temple Ave and S. Campus Dr,"[""15:37"",""17:49""]","[23,36]","[""EMS Layover"",""Grand Ave Park and Ride""]"
105,12:35,22:32,Citrus Gold Line Station,El Monte Station,"[""16:45"",""20:01""]","[39,18]","[""CiCo Layover"",""Puente Hills Mall Layover""]"
106,12:35,21:21,Figueroa and 9th,Montclair Transit Center,"[""16:57""]",[36],"[""MTC Layover""]"
107,12:37,22:57,Pomona Transit Center,Puente Hills Mall,"[""16:35"",""19:23"",""21:27""]","[59,20,17]","[""Puente Hills Mall Layover"",""Puente Hills Mall Layover"",""Puente Hills Mall Layover""]"
108,12:41,21:55,Puente Hills Mall,El Monte Station,"[""13:27"",""17:11"",""20:11""]","[16,47,24]","[""Puente Hills Mall"",""PTC Layover"",""Beach and La Habra""]"
