Duty Id,Start Time,End Time,Start Stop Description,End Stop Description
135,05:15,18:52,Puente Hills Mall,El Monte Station
136,05:18,18:47,Montclair Transit Center,Hope and 9th
137,05:22,18:59,Temple Ave and S. Campus Dr,El Monte Station
138,05:24,19:03,Industry Park & Ride,Hope and 9th
139,05:25,19:01,Montclair Transit Center,Pomona Transit Center
140,08:24,21:59,Towne and Marketplace,Durward and D St
141,08:55,22:32,Durward and D St,Towne and Marketplace
142,09:00,22:29,Towne and Marketplace,Durward and D St
143,04:40,10:38,Citrus Gold Line Station,El Monte Station
144,12:00,21:04,Pomona Transit Center,Puente Hills Mall
